term,coef,se,t,p,n,outcome,primary,match_mean,ctrl_mean,q_bh_primary
lvol,-0.03117646861184314,0.042553445376703365,-0.7326426411740388,0.46496729125242564,619741,lvol,True,13.098793747398219,12.960556901572359,0.49796609957835125
ltrades,-0.023936160203724733,0.03523058551970803,-0.6794142036139257,0.49796609957835125,619741,ltrades,True,6.206317906369716,6.07194203018538,0.49796609957835125
absret,-2.1357393253958984e-05,3.135843932802746e-05,-0.6810732202118946,0.49691892195924203,619756,absret,True,0.0005178286420024085,0.00048232144419020737,0.49796609957835125
hlrange,-4.2990819198579496e-05,6.26092494872331e-05,-0.6866528436400746,0.49340575989111235,619756,hlrange,True,0.001049330437004645,0.0009606576329713339,0.49796609957835125
lavg_trade,-0.0072403084082136365,0.010928303412815909,-0.6625281285403127,0.5086918200607706,619741,lavg_trade,False,6.892475841028502,6.888614871386981,
sqret,-4.07654853542529e-07,4.0009918134300624e-07,-1.0188844980241167,0.3099665704237453,619756,sqret,False,7.820889854485234e-07,8.320939782257725e-07,
amihud,292.1993456447133,311.47788286142656,0.9381062403545034,0.34976059909736934,619741,amihud,False,8.669527455030407,219.49639377516056,
signed_imb,0.0075136543809632035,0.0041130829809107265,1.826769461213135,0.06980525797135129,619741,signed_imb,False,0.03144664589667538,0.02748644047036613,
