outcome,window,coef,se,p,n
lvol,g5,-0.08103247567276448,0.05174903435683494,0.11957300817055394,619741
lvol,g15,-0.07041424293171929,0.04189875166236518,0.09501228614433699,619741
ltrades,g5,-0.06892968723703474,0.04192028030659849,0.10229482142393875,619741
ltrades,g15,-0.050206541195083436,0.03565704292820944,0.16127446163026504,619741
absret,g5,-3.379627341330213e-05,4.5264653740764294e-05,0.45649988011994136,619756
absret,g15,-2.5029356565192e-05,3.111958470358047e-05,0.42255189626608014,619756
signed_imb,g5,-0.004394382932693885,0.007231148662191863,0.5443423680696409,619741
signed_imb,g15,0.01004124865899314,0.005912010746774182,0.09158273837978692,619741
