rel,n,lvol_mean,lvol_se,ltrades_mean,ltrades_se,absret_mean,absret_se,signed_imb_mean,signed_imb_se
-30,1024,-0.06707237185691795,0.2125011830165494,-0.021388975191467374,0.19183581473453698,-7.163519829432932e-05,9.61598669867264e-05,-0.021999209961070815,0.051243800435314485
-29,1024,-0.031097826516129967,0.21054467899526647,0.0003613793327259529,0.19365561251667865,1.0303432331590801e-06,0.00011953312644886322,0.007606866737606487,0.05284356584555616
-28,1024,-0.06125873743944282,0.2069364424457126,-0.013456052738962387,0.1911611229205296,-8.476726975953818e-05,9.407438993023752e-05,0.0320682825171036,0.05219303002923783
-27,1024,-0.13429964147095885,0.21262740788260698,-0.06704762555813115,0.19050511684999574,-9.66838927624788e-05,9.806625417926568e-05,0.012095576081369382,0.05573574057180823
-26,1024,-0.05440850718945689,0.21409553362099795,-0.008173969587385255,0.19001819870162295,-3.1980992619603716e-05,0.00010649742893449778,-0.006852797356019418,0.053420697026828105
-25,1024,-0.056466468286269,0.21105586531176812,-0.02207761139679648,0.19044118777947455,-2.6414944210655255e-05,0.00012005613828500745,-0.03119000334818236,0.054970374448951066
-24,1024,-0.08205894743860284,0.20816682687987637,-0.03969707424554808,0.1905514903970393,-5.4881019459766486e-05,9.660255905908862e-05,-0.0012787741799845237,0.05351343648187867
-23,1024,-0.08553956687272751,0.2124851420065689,-0.03582117538173796,0.1905576493220312,-0.00010332445868132858,9.473197520089441e-05,0.004415933847252761,0.053725495942536346
-22,1024,-0.05807496351430111,0.20871089738270426,-0.03016516289069604,0.18996765327320214,-1.9708649763889498e-05,9.81040768564873e-05,-0.00431299634500628,0.05385525428761137
-21,1024,-0.05360939722179192,0.20399914299152752,-0.0394070195485996,0.1877279164501417,-9.011741234348818e-05,8.506639705689865e-05,-0.013266397776121775,0.055329174943980194
-20,1026,-0.12123581701265244,0.2049467783418047,-0.06550695763851236,0.18738137278101197,-3.0113538687706202e-05,0.0001122541336863646,-9.034466392661535e-05,0.054177739151717766
-19,1026,-0.025363588205320094,0.20842979168809672,0.004920572904644247,0.1878641572280362,-3.621527730732335e-05,0.00010074935826694593,-0.0043836134330877425,0.05399900280390545
-18,1026,-0.06645414569184531,0.208610070362555,-0.026863536151851136,0.1882004721685049,-7.736397202250842e-05,0.00010515529953960977,0.0058376227128740426,0.053739036869878444
