rel,n,lvol_mean,lvol_se,ltrades_mean,ltrades_se,absret_mean,absret_se,signed_imb_mean,signed_imb_se
-120,384,0.07463051724641771,0.20840249556819368,0.0791813460434515,0.1838069084268122,6.211256325332014e-05,0.00018036957456352132,-0.009015369075348093,0.04785375499811144
-119,384,0.1100358994182904,0.20358291236175413,0.12487200268428382,0.18237995513768374,1.1664412774882387e-05,0.00010514439783679047,0.011275181502410659,0.04885911176360633
-118,384,0.11211622113529207,0.20194151474773453,0.14712121745956167,0.18164873520667627,3.4037711660191057e-05,9.806134148964744e-05,-0.009680139283084319,0.053282083927990706
-117,384,0.06847078911453781,0.20042008777989923,0.10251047646881421,0.17653600526022886,3.0354223751137444e-06,9.601755559379341e-05,-0.03958917434009702,0.04975720754771767
-116,384,0.0937721550303906,0.19712838167776384,0.11496285978452107,0.1786672029353076,7.353928227807739e-05,9.956933651308844e-05,-0.0069837164173914175,0.05187588792577711
-115,384,0.004432416852157524,0.19159312890691674,0.08083710068472645,0.16928364404327728,3.950717260147079e-05,0.00011903355920622635,0.02519914579628745,0.04993782569123964
-114,384,0.1716236980761933,0.1967517621175691,0.19801561895923184,0.1737621771676435,8.514912281943692e-05,0.00012618971419398926,-0.019513406159239327,0.05023746071209048
-113,384,0.17242435945729062,0.20645455893415732,0.18055994968299838,0.18561964557524546,8.090552140883532e-05,0.0001091824953653058,-0.039226077597944206,0.051986895005717064
-112,384,0.08527170326116802,0.1924969614172701,0.10471834744635929,0.1746955122535614,2.927614144173983e-05,7.760802717420571e-05,-0.04724209057239157,0.05069618893234416
-111,384,0.10288534019066975,0.19489234314853646,0.12424976947466504,0.18038519663954045,3.3604699226169e-05,8.891493227694893e-05,0.0070769621412148445,0.05303631301419884
-110,384,0.08537000653529703,0.1917349897464345,0.10974108110628134,0.17325921584044168,-0.00011730772089057544,6.710226384084718e-05,-0.02800964065813701,0.0486587823965089
-109,384,0.09460710984680647,0.1909903994190317,0.1133601328054638,0.17806535686424924,2.722790395844156e-05,9.116044035043872e-05,0.006165587787409633,0.05194540329790211
-108,384,0.1241523018248644,0.1915480744370858,0.10741336456573329,0.17828620869423262,-4.498198730533791e-05,7.075624159072999e-05,-0.022610419610359308,0.050872111110766643
-107,384,0.06793088285851907,0.18488132616311553,0.06907122959550165,0.17647115784415454,-5.309406051075821e-05,8.34060829074177e-05,0.01842974205979094,0.05287992446869959
-106,384,0.12816130126025493,0.2046454586728364,0.10729487800159913,0.18679107271466466,-1.2554159223545624e-05,8.264612617971523e-05,0.03250435273508215,0.050990714904077555
-105,384,0.13207707123526236,0.21160599767829602,0.14042151528264005,0.19105152009814538,0.0001264642905614816,0.00011644221335799899,-0.04046914382253654,0.05025740104685886
-104,384,0.11765574632684946,0.19493954678344547,0.09903576499667477,0.18477218640486337,-5.118508424644077e-05,7.3633328801391e-05,-0.042838365190484805,0.05086212118180163
-103,384,0.06381634088839234,0.19880084508569737,0.11238110440190356,0.18329129695624333,2.0353000169872047e-05,0.00011567809911500329,-0.07590892297930722,0.05129999265850664
-102,384,0.13226901181527975,0.20085483434687948,0.14381779437530598,0.1829850994872786,6.179215876935002e-05,0.00011942507974295255,-0.04595090036660145,0.052125244551299355
-101,384,0.08854815698719676,0.19870770741589353,0.08914029067060887,0.18286079559321278,-7.082522342293539e-05,7.44603306164013e-05,-0.029258263779068722,0.0513897582822865
-100,384,0.08389471619572164,0.19373276718921006,0.0886290336855247,0.17937559860309182,-1.2166990701587585e-06,6.850116959694157e-05,-0.015777003012638045,0.051152470103938634
-99,384,0.09936247374906726,0.19429595952754858,0.09064058982290175,0.1814976611195349,1.1225477882106916e-05,9.953749895373815e-05,-0.01644178677272119,0.05170107114962413
-98,384,0.0625993409133055,0.19283994463742846,0.07974689116032574,0.179017774563927,-3.7123560517085854e-05,6.610564980750344e-05,-0.046605293517825504,0.052897481217669344
-97,384,0.1274764217282772,0.1959881432738527,0.13298195615889322,0.18079623963293753,7.765632518547316e-05,0.00010196191300843263,-0.02344803603090038,0.05308663531764008
-96,384,0.18108204703064454,0.20491935667205965,0.17535752109218775,0.1858943052235389,8.007010235136931e-05,8.955631981204179e-05,-0.017860564052296513,0.04728267855760158
-95,384,0.11893671273264188,0.19305490992998459,0.11104890312123117,0.17961202162495077,4.182862469761925e-05,0.00010461389518453575,0.040115854184593895,0.04645255408133239
-94,384,0.09182657538233734,0.19523533683820538,0.12597458274177156,0.18137370761955968,-3.61308090505324e-06,0.00010638948122848309,0.012272015338700195,0.050077696859908
-93,384,0.09637240932501039,0.19910809034937368,0.13671824561243706,0.18182683520338924,0.00010629110092025313,0.00013478947355715187,-0.008716073749677042,0.051090697074343355
-92,384,0.07676322466143566,0.2005743141744614,0.08778971989723428,0.18430138355905276,-9.469772993438152e-06,0.00012092318028401145,-0.030210573843575863,0.05051683729479307
-91,384,-0.024646400563531623,0.18886517184090104,0.05898866595571036,0.1774035180176116,1.9580206261912805e-05,0.0001031834070880681,-0.020347857284654807,0.04575891193507478
-90,384,0.23254783452561276,0.22121900123838406,0.2121270205905513,0.20129359563590246,0.00013099058342141975,0.00023949459942721428,0.015112462487157877,0.04730559320540172
-89,384,0.19144344468675864,0.21341968170181558,0.19653350712493003,0.19665174733022225,-4.044746645130783e-05,0.00011466224191995733,-0.014890748598037145,0.05215518697041684
-88,384,0.061913435189145306,0.2014023847236516,0.10365178031550133,0.18858609637966223,-4.055371027007433e-05,7.818314794464623e-05,-0.0329404663309401,0.05273495249968626
-87,384,0.032756981232135406,0.20388361854762327,0.07831690676107834,0.1841719191062439,-1.7643019788306502e-05,0.00010622694945235351,0.0019891270316274114,0.05220769491712948
-86,384,0.01626666612086473,0.21402752335255149,0.06400760056356554,0.19212003511679915,-5.338090436979466e-05,8.103938485243019e-05,-0.03690963635760446,0.05037065867250861
-85,384,0.055976170242540056,0.19731806815225336,0.06101800197815743,0.18076167023672285,-6.024592913646531e-05,9.772966977325435e-05,0.019507580628238052,0.05216683477174164
-84,384,0.1006228123445525,0.1915149065641355,0.07767694634271667,0.18323653305578588,0.0001079886777485961,0.0001435413345824694,-0.034541547981028674,0.052408373610360284
-83,384,0.0422684990875423,0.19260199330560546,0.059963579342719786,0.18170722417813318,-0.00011578426814765472,9.354329487406116e-05,-0.01509473835605891,0.049434726095546465
-82,384,-0.016330495479341733,0.1947832382980428,0.028764542692782058,0.17901952868442791,-0.00010794399086897286,7.916085730384609e-05,0.014338144050849025,0.05218039179842031
-81,384,-0.042154454882153525,0.1967533943774169,0.0158177039940491,0.17994153510468555,-4.867630683674234e-05,8.928582760831086e-05,0.004098782099260119,0.04904018875418624
-80,384,-0.006417304365678482,0.20070409545575485,0.047613989339518846,0.17769678818369397,5.661219898470301e-05,9.731476525450684e-05,-0.02214614256228978,0.05081760969577519
-79,384,-0.006832781772902252,0.202486713219391,0.029963009485152476,0.1846866300821098,-1.8480452475964888e-05,0.00011912896040100902,-0.04938108643109285,0.054328709093821634
-78,384,0.02381613071715342,0.19039919144542194,0.0423673389182283,0.17840317221141982,4.327907106633632e-05,0.00017255905150503914,-0.0192060963623234,0.047854824926380816
-77,384,-0.08671322052794368,0.19771879606673154,-0.03181692541470604,0.18214085456542492,-6.922680855387131e-05,0.00012162165578335494,-0.016221092037037938,0.051452019579393514
-76,384,-0.0877412677609315,0.20600208793707223,-0.026492132846899958,0.1832407287135453,-3.906690989619832e-05,8.454323791353088e-05,0.024710692791874947,0.05531887775894001
-75,384,0.01035640769467879,0.2033007826574527,0.04174874338758242,0.17950510144985196,6.075275748720355e-05,9.61152941974024e-05,-0.015149758461395935,0.04676425276845629
-74,384,-0.04759643753579179,0.2064535664912172,0.015545321028799982,0.1837178662434429,3.160587111412747e-05,0.00010988203796558718,0.01755584886409665,0.04898998385112149
-73,384,-0.04251352844387853,0.1810925166265504,-0.0013598399632244185,0.17283922877427804,-5.499081835488633e-05,9.489935542671065e-05,0.009952072790651927,0.04934050467301174
-72,384,0.012834445327908783,0.18495334678099928,0.031865182931297954,0.16781881854468753,-6.635815223297521e-05,7.375742818935922e-05,-0.020535721047797963,0.04890684997809601
-71,384,-0.029408856002439105,0.1951569705275581,0.01636182988152542,0.17720562773784176,7.491505364328843e-05,0.00018561592567766308,0.0022922383821953503,0.04684003404721989
-70,384,-0.06177803518388,0.20408384200272325,0.00561168114881568,0.18009750194737315,-7.294292684248249e-05,7.070429835928717e-05,-0.006757821845997783,0.04821556839029762
-69,384,-0.010049616636350992,0.20596290653996419,0.019658056994621198,0.1813585925707528,-4.557388586610303e-05,9.555648233529862e-05,0.03096002336674356,0.04843551065009843
-68,384,0.012990572186036128,0.1868577700414802,0.03028726392708403,0.17475050441818998,-2.7063138570769176e-05,9.59357414377997e-05,0.008953019307844923,0.050784645217290425
-67,384,0.07230026572164228,0.20801867201595542,0.08013133359685776,0.18192761952580133,-4.593910169161214e-05,6.745795254692678e-05,0.02827439004586239,0.05117154959697294
-66,384,-0.046921574421742385,0.19581158571356883,0.021479450348067124,0.1758538672818457,-1.4959503307023376e-05,8.245449889097395e-05,-0.005052468286491107,0.049628023404292794
-65,384,0.009296701940359068,0.19531183850469594,0.042292827335842685,0.17403218474715945,-4.183776832112499e-05,0.00011178366072173742,0.04149840893496987,0.047847416240419695
-64,384,0.055131718452013624,0.2085793990416264,0.044770126538861366,0.18870063750478305,-1.4653716408513952e-05,9.088089158325457e-05,-0.001347096248640976,0.05257402271584508
-63,384,0.01903024581894523,0.1900089385901914,0.04274396399657928,0.1725032585945081,-8.572700964253893e-06,0.00011775781341471548,-0.01288490382788536,0.04880387837918641
-62,384,-0.03554433124287426,0.18966548166379044,0.01726533144561541,0.1730964491868035,-2.7604333899542552e-05,8.487911563614191e-05,0.01113339548008134,0.048715163595983366
-61,384,-0.1311795299881897,0.19580904281552983,-0.04981747203552297,0.178521489266683,-1.799062353956956e-05,8.715890207584192e-05,0.026354311380338086,0.05275973054622238
-60,380,-0.09000197765367172,0.17929707692831715,-0.06932952901501709,0.16109913488965374,-0.00012064747524533637,8.587993757699663e-05,0.011858599929735512,0.050030803206960815
-59,380,-0.07947813836890942,0.18595696915223703,-0.04364980665929537,0.170249488628954,-5.6297236941694665e-05,9.360074395021569e-05,-0.005194004526674015,0.05157540757526456
-58,380,-0.10113249374632667,0.201385754887578,-0.05094796811766971,0.17436516303581065,-7.578944466746972e-05,9.095923640151087e-05,-0.007820128216429963,0.05064057496820808
-57,380,-0.052507967395112584,0.18107320786440714,-0.04703813904117498,0.1660537526741838,-0.00011717718952441035,7.95794765666194e-05,-0.03066036529053697,0.05089091426148895
-56,380,-0.04395890536650126,0.1795834990530021,-0.02087339966103055,0.16477784861131833,-0.0001136717569936276,7.663491743646206e-05,0.0168704828619526,0.05037416673701505
-55,380,0.034096056668505785,0.18316805775810066,0.03571502175799353,0.1651395126271131,2.4684537406727635e-07,0.00011259877072908282,0.00817492780097886,0.04936909550474431
-54,380,-0.015334773716907528,0.17791103985058226,0.006310607872560026,0.16223354248534297,-4.2511280072673454e-05,9.544847522821642e-05,0.030213726913406853,0.04748372053890038
-53,380,-0.0374895051888148,0.18307523370965956,-0.0005475128038522382,0.16689615691748244,-9.846047803577638e-05,7.715596799829695e-05,-0.02410820274180694,0.05043891240628161
-52,380,-0.06472318498285294,0.18466343891309125,-0.03349581237048261,0.17182033239471764,-9.536166221881239e-05,7.967173964463858e-05,0.010132891159767872,0.05204189792011692
-51,380,-0.022801311887106983,0.17971245628734292,-0.03093480591562915,0.1700368883572791,-0.0001104280282450855,7.176609171729858e-05,-0.007480991181522561,0.05223939921667701
-50,380,0.04737306055035565,0.1780644864837664,0.02700893906363863,0.1624850548909787,2.6565463053383405e-05,9.755313445559448e-05,-0.008969272494624068,0.04986825349926701
-49,380,0.03464274202605657,0.18076741935213084,-0.0030196841702084796,0.16492719042092777,-2.3305335599935597e-06,7.182115928331741e-05,0.02013228719655381,0.04992000748190468
-48,380,0.0354374064137956,0.17733733564822762,0.0012093461780298155,0.16570172971380512,-2.7332650116993204e-05,8.670002771725085e-05,0.01510396452351384,0.04930322581747463
-47,380,-0.06974388596573824,0.17815662505318636,-0.042926499329793366,0.1646764707582755,-5.485122106725816e-05,9.538606314954832e-05,0.012672231107410357,0.047900063633824326
-46,380,-0.0928037179415895,0.17130989900059235,-0.06980966688330885,0.158505667562861,-9.21034534819837e-05,8.08312028828116e-05,0.011240771635558235,0.04987313315076397
-45,380,-0.030828700290415643,0.18388850796274597,-0.032342262147643346,0.16679377665491796,3.258780140921359e-05,9.276045661968659e-05,0.005828857717683323,0.05324552803086841
-44,380,-0.0176115416069181,0.19360565307946995,-0.018172630445741706,0.17081734603084475,-3.062005863843148e-05,8.453693523814011e-05,0.019926296290668676,0.05075444420004347
-43,380,-0.04221724569497371,0.17019630024586685,-0.03467038945202861,0.1607527842100658,-5.231103349446923e-05,9.106052768958673e-05,-0.007426117066913382,0.049610221318882736
-42,380,-0.060536862599429836,0.18690141340109812,-0.03841274462067755,0.16890615938335346,-8.664319114116495e-06,9.630358038822982e-05,0.021909786033356273,0.050232264653934156
-41,380,-0.07285322318502736,0.1836773343969623,-0.04104047273317568,0.16543115703482794,-9.150132044635877e-05,6.646006719610352e-05,-0.010363637404363782,0.05249566578793676
-40,380,-0.10147879628689614,0.17740287168378016,-0.05519655320628269,0.15870305212358074,-0.00010982915758221217,7.174837926295927e-05,-0.03334139302448328,0.04943400284024208
-39,380,-0.077454587883116,0.1780264121067338,-0.034927705547513045,0.16198798160177444,-0.00010497135990825596,9.21815650738159e-05,0.022254414105199117,0.051757655084707054
-38,380,-0.06755238853137517,0.18034190077229972,-0.02561386441208728,0.16206141411048433,-0.00011695918842077401,8.2746663923652e-05,-0.007962383237544396,0.05108535987196036
-37,380,-0.13108924384217496,0.19652967224461765,-0.0704733078351504,0.1724180588968293,-0.0001371584865133972,0.0001142116082958852,0.005613107035060111,0.04881438020161938
-36,380,-0.1375528079114078,0.19115194318404732,-0.07726690369804998,0.17312499588459648,-5.717669013343237e-05,6.772783580133673e-05,-0.0027138649733778174,0.053287943534241586
-35,380,-0.04254774301276947,0.18367369262151503,-0.043985118065746696,0.1629421339229872,-7.816513775281932e-05,7.146356518586036e-05,-0.00594165176368139,0.04705796221719245
-34,380,-0.02684796750516089,0.19268857907034329,-0.01066550677678995,0.16892011351210912,-2.3413316369845578e-05,9.43708481149589e-05,0.023193021795003675,0.053929434994782546
-33,380,-0.041938971460554565,0.19828170925449357,-0.002318764056668131,0.17531689109263937,-7.5985768965072444e-06,0.00014050017884660815,-0.008938998546380387,0.047453632380933974
