term,coef,se,t,p,n,outcome
lvol,-0.06782979356222697,0.3277318426977718,-0.20696735783705444,0.8379389988700052,132480,lvol
ltrades,-0.16957458585963964,0.2792448870395653,-0.6072612023711401,0.5498945686491372,132480,ltrades
absret,-6.274989292763536e-05,0.00011082705411392111,-0.5661965251114013,0.5769908605683107,132480,absret
hlrange,-7.76167737326609e-05,0.00020399266225612007,-0.38048806694434073,0.7072321502066874,132480,hlrange
